State_UT,year,Computers_Primary_Only,Computers_U_Primary_Only,Computers_Sec_Only,Computers_HrSec_Only,Computers_All Schools,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools
Manipur,2013-14,2.13,15.87,15.91,73.58,25.57,9.53,42.86,45.45,100.0,30.97,84.35,96.83,75.0,100.0,89.09,93.63,100.0,0.0,0.0,95.3,97.26,98.41,0.0,0.0,98.17
Manipur,2014-15,1.82,24.59,14.63,79.63,25.23,9.73,44.26,46.34,100.0,30.66,83.07,96.72,73.17,100.0,88.58,91.68,100.0,100.0,100.0,94.93,92.69,100.0,97.56,100.0,95.51
Manipur,2015-16,2.17,39.68,30.0,80.6,27.16,14.64,46.03,40.0,95.52,39.27,99.83,100.0,97.5,100.0,99.64,98.37,90.38,94.59,100.0,98.67,98.27,96.83,92.5,100.0,98.74
Meghalaya,2013-14,2.97,15.63,16.78,20.0,8.98,13.83,35.25,59.71,86.67,24.49,61.04,57.55,72.39,80.0,61.76,53.74,49.55,0.0,0.0,53.71,50.84,46.72,0.0,0.0,50.95
Meghalaya,2014-15,3.23,18.12,24.78,43.3,10.64,14.86,38.78,62.34,87.63,26.72,62.59,61.13,71.75,83.51,63.74,63.75,63.53,62.83,73.33,64.48,62.63,65.16,60.65,71.13,63.92
Meghalaya,2015-16,3.54,19.8,28.79,52.27,11.74,15.61,41.15,66.3,91.48,28.54,62.16,61.39,73.62,88.07,63.81,86.48,91.42,69.23,82.82,86.4,84.12,89.79,67.24,81.82,84.29
Mizoram,2013-14,9.21,56.86,9.97,9.73,27.76,61.97,79.26,85.22,93.81,73.79,94.33,94.45,89.35,91.15,93.39,68.62,75.39,0.0,0.0,73.27,99.47,99.81,0.0,0.0,99.62
Mizoram,2014-15,8.31,51.83,44.75,27.27,31.9,64.07,78.41,87.38,94.7,74.56,90.79,93.4,93.44,95.45,92.23,97.29,99.19,99.34,100.0,97.34,99.94,99.91,99.67,100.0,99.82
Mizoram,2015-16,8.52,52.41,48.94,31.88,32.81,65.66,81.73,89.92,94.93,76.86,91.61,94.03,94.63,94.93,93.1,97.5,98.12,99.02,100.0,97.96,99.04,99.47,99.51,99.28,99.27
Nagaland,2013-14,4.98,59.09,30.88,25.0,34.96,18.38,39.02,50.0,95.83,39.06,69.27,59.47,69.12,91.67,72.33,86.38,82.77,0.0,0.0,87.88,97.07,93.18,0.0,0.0,97.08
Nagaland,2014-15,4.97,68.83,41.67,34.78,35.68,18.07,49.35,33.33,100.0,40.94,72.27,64.29,66.67,95.65,78.18,92.72,83.12,91.67,100.0,94.66,99.02,98.7,91.67,100.0,99.37
Nagaland,2015-16,5.53,76.92,100.0,80.95,40.13,22.85,74.36,100.0,100.0,51.7,75.81,82.05,100.0,95.24,82.06,98.66,97.44,100.0,100.0,98.69,99.84,97.44,100.0,100.0,99.89
Odisha,2013-14,3.91,8.24,18.32,0.0,10.58,13.09,32.13,66.34,0.0,27.88,95.86,96.9,99.5,0.0,96.85,76.79,77.2,0.0,0.0,76.61,83.4,84.8,0.0,0.0,86.0
Odisha,2014-15,3.58,9.19,39.91,0.0,13.72,13.89,33.2,66.09,0.0,29.73,97.15,99.06,98.71,0.0,98.03,81.58,80.5,69.59,0.0,82.45,86.46,84.05,89.96,0.0,88.34
Odisha,2015-16,3.71,9.28,41.13,52.61,15.03,15.49,35.17,70.16,86.03,33.03,99.28,99.47,99.19,93.95,99.39,93.66,89.17,91.3,88.4,93.75,97.44,91.27,93.88,92.83,97.06
Puducherry,2013-14,98.56,0.0,0.0,100.0,97.62,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,99.85,100.0,0.0,0.0,100.0,100.0
Puducherry,2014-15,98.25,100.0,0.0,100.0,97.81,100.0,100.0,0.0,100.0,100.0,99.65,100.0,0.0,100.0,99.73,99.64,100.0,0.0,100.0,99.86,100.0,0.0,0.0,100.0,100.0
Puducherry,2015-16,99.28,100.0,0.0,100.0,98.77,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Punjab,2013-14,10.64,93.48,100.0,53.42,51.97,99.93,100.0,100.0,98.63,99.86,99.78,99.58,100.0,98.63,99.77,96.02,96.22,0.0,0.0,97.04,96.51,98.23,0.0,0.0,97.81
Punjab,2014-15,10.29,95.36,80.0,73.53,52.48,99.86,99.69,100.0,100.0,99.88,99.95,100.0,100.0,100.0,99.97,96.3,96.99,100.0,94.67,97.35,98.76,98.82,100.0,98.02,99.08
Punjab,2015-16,9.23,94.97,66.67,83.92,52.83,99.94,100.0,100.0,100.0,99.94,99.99,100.0,100.0,100.0,99.98,99.62,99.54,100.0,98.08,99.6,99.82,99.86,100.0,100.0,99.83
Rajasthan,2013-14,4.51,72.31,68.0,66.67,23.47,22.56,88.43,92.0,100.0,52.06,93.58,99.59,100.0,100.0,96.31,93.99,87.88,0.0,0.0,96.03,96.07,99.15,0.0,0.0,97.87
Rajasthan,2014-15,5.29,81.57,64.0,75.0,28.6,19.05,96.77,92.0,100.0,55.28,94.43,99.54,100.0,100.0,97.08,94.68,92.68,100.0,100.0,96.91,95.58,99.06,95.83,100.0,98.03
Rajasthan,2015-16,5.91,78.51,75.0,0.0,30.11,19.84,89.47,91.67,0.0,56.68,94.35,93.42,100.0,0.0,96.84,98.97,98.11,100.0,0.0,99.19,99.4,100.0,100.0,0.0,99.67
Sikkim,2013-14,29.92,50.0,0.0,0.0,53.33,56.69,100.0,0.0,0.0,69.3,96.04,100.0,0.0,0.0,97.18,96.72,100.0,0.0,0.0,97.01,98.78,100.0,0.0,0.0,99.25
Sikkim,2014-15,35.94,50.0,0.0,0.0,58.56,59.16,100.0,0.0,0.0,70.72,96.22,100.0,0.0,0.0,97.17,97.9,100.0,0.0,0.0,98.19,98.27,100.0,0.0,0.0,98.91
Sikkim,2015-16,36.97,0.0,0.0,0.0,60.36,73.8,100.0,0.0,0.0,83.97,97.59,100.0,0.0,0.0,98.51,99.86,100.0,0.0,0.0,99.84,99.84,100.0,0.0,0.0,99.83
Tamil Nadu,2013-14,35.51,78.13,50.0,81.82,54.14,97.21,96.88,100.0,100.0,97.69,100.0,100.0,100.0,100.0,100.0,88.14,92.42,100.0,100.0,90.93,95.53,96.75,100.0,100.0,96.91
Tamil Nadu,2014-15,39.86,75.65,66.67,100.0,57.28,97.77,97.39,100.0,100.0,98.51,99.86,99.13,100.0,100.0,99.81,98.99,98.11,100.0,100.0,99.29,99.57,100.0,100.0,100.0,99.71
Tamil Nadu,2015-16,40.14,73.39,75.0,94.74,57.62,98.59,96.77,100.0,100.0,99.05,99.97,99.19,100.0,100.0,99.96,99.6,100.0,100.0,100.0,99.73,99.84,100.0,100.0,100.0,99.9
Telangana,2014-15,18.17,75.0,76.47,48.03,37.9,87.24,100.0,100.0,93.6,91.05,90.2,100.0,94.12,97.76,93.6,68.44,87.5,82.35,81.66,73.39,89.82,100.0,100.0,81.62,92.1
Telangana,2015-16,9.06,0.0,0.0,53.67,35.51,87.27,0.0,0.0,94.15,91.58,90.19,0.0,0.0,98.18,94.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
Tripura,2013-14,3.59,50.0,0.0,0.0,11.4,13.03,50.0,0.0,0.0,24.94,83.0,50.0,0.0,0.0,84.48,92.31,50.0,0.0,0.0,91.15,87.79,50.0,0.0,0.0,89.13
Tripura,2014-15,4.36,100.0,0.0,0.0,15.11,13.62,100.0,0.0,0.0,28.58,84.74,100.0,0.0,0.0,88.98,99.14,100.0,0.0,0.0,99.44,99.77,100.0,0.0,0.0,99.88
Tripura,2015-16,4.52,100.0,0.0,0.0,15.65,14.72,100.0,0.0,0.0,29.77,85.51,100.0,0.0,0.0,89.84,99.57,100.0,0.0,0.0,99.69,99.73,100.0,0.0,0.0,99.86
