State_UT,year,Primary_Boys_Dropout,Primary_Girls_Dropout,Primary_Total_Dropout,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Primary_Boys_GER,Primary_Girls_GER,Primary_Total_GER,Upper_Primary_Boys,Upper_Primary_Girls,Upper_Primary_Total,Secondary_Boys,Secondary_Girls,Secondary_Total,Higher_Secondary_Boys,Higher_Secondary_Girls,Higher_Secondary_Total,Computers_Primary_Only,Computers_U_Primary_only,Computers_All Schools,Computers_Sec_Only,Computers_HrSec_Only,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools,Overall_Dropout,Overall_GER,Infrastructure_Score
Himachal Pradesh,2014-15,0.46,0.83,0.64,0.5,1.27,0.87,6.31,5.8,6.07,9.02,5.57,7.41,98.52,100.44,99.43,102.25,104.04,103.09,119.04,112.29,115.87,101.69,99.31,100.58,4.3,15.85,0.0,50.0,23.85,93.99,85.79,100.0,100.0,94.22,98.95,98.05,100.0,100.0,99.08,95.01,92.12,100.0,100.0,95.63,97.64,93.96,100.0,100.0,97.67,3.7475,104.74249999999999,77.32000000000001
Jharkhand,2013-14,6.89,5.91,6.41,7.19,7.65,7.42,22.99,23.32,23.15,8.29,5.85,7.64,109.57,110.92,110.23,91.7,99.09,95.25,68.67,71.79,70.14,43.91,44.02,43.96,3.1,24.39,19.67,24.58,8.94,7.99,29.27,53.39,75.42,16.35,88.72,95.12,96.69,96.61,91.35,83.93,89.74,0.0,0.0,85.67,85.27,92.5,0.0,0.0,87.68,11.155,79.895,60.144000000000005
Jharkhand,2014-15,5.91,5.03,5.48,9.01,8.96,8.99,23.45,24.56,24.0,2.72,4.18,3.41,107.77,109.08,108.4,95.81,104.5,99.97,69.35,74.64,71.86,48.37,49.06,48.69,3.25,40.0,27.34,34.38,9.71,8.48,52.63,58.01,76.95,17.98,89.37,95.79,96.37,96.48,91.93,83.76,92.5,82.95,87.32,86.15,84.41,91.95,88.24,88.24,87.32,10.469999999999999,82.23,62.144000000000005
Karnataka,2013-14,2.42,2.21,2.32,2.31,2.73,2.51,28.49,26.57,27.57,8.29,5.85,7.64,101.18,100.73,100.96,91.72,91.91,91.81,76.9,78.15,77.49,16.89,20.03,18.39,9.94,56.96,67.04,13.97,35.01,96.37,97.11,94.25,89.53,96.78,99.56,99.74,99.69,94.42,99.54,99.63,100.0,99.46,86.08,99.65,99.95,100.0,99.79,84.62,99.88,10.01,72.1625,92.578
Karnataka,2014-15,2.03,2.01,2.02,3.46,4.27,3.85,27.71,24.52,26.18,5.97,5.85,1.96,101.89,101.84,101.86,92.53,93.89,93.18,81.05,82.63,81.8,30.81,35.32,32.96,13.2,60.24,69.92,31.38,38.74,97.05,98.59,96.6,92.04,97.64,99.75,100.0,99.89,97.87,99.8,99.64,100.0,99.88,90.05,99.48,99.83,100.0,99.96,90.38,99.6,8.5025,77.45,93.28800000000001
Kerala,2013-14,3.4,2.83,3.05,3.49,3.855,3.8,17.3,11.4,14.46,6.95,5.9,6.4,95.68,95.15,95.42,98.35,98.32,98.34,103.83,101.12,102.51,85.96,89.27,87.58,87.96,98.66,0.0,75.68,92.63,93.57,98.66,0.0,94.59,96.08,98.94,99.85,0.0,100.0,99.4,95.08,98.5,0.0,0.0,96.85,95.49,99.09,0.0,0.0,97.39,6.9275,95.96249999999999,77.944
Kerala,2014-15,3.4,2.83,3.05,3.49,0.0,3.8,14.96,9.52,12.32,1.54,5.85,0.47,95.22,95.0,95.11,96.47,97.34,96.89,103.63,102.82,103.24,73.74,80.13,76.87,89.64,98.63,100.0,83.64,93.77,94.85,99.54,100.0,98.18,97.01,99.17,100.0,99.4,100.0,99.56,95.03,98.02,99.38,100.0,97.0,96.17,99.54,100.0,100.0,97.79,4.91,93.0275,98.272
Lakshadweep,2013-14,0.0,2.71,2.5,1.16,2.5,1.86,8.48,7.65,8.03,3.03,2.59,2.82,83.42,77.76,80.59,100.53,94.14,97.09,119.61,135.39,127.61,110.06,80.91,94.66,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,3.8025,99.98750000000001,80.0
Lakshadweep,2014-15,1.15,2.71,2.5,2.37,3.18,2.78,8.82,4.96,6.76,3.0,3.21,3.12,78.76,74.21,76.45,96.2,84.74,89.96,117.88,127.89,123.01,91.54,81.15,85.99,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,3.79,93.8525,80.0
Madhya Pradesh,2013-14,9.91,10.4,10.14,9.88,13.57,11.7,25.21,27.91,26.47,0.52,2.83,1.55,111.85,111.09,111.49,96.04,105.88,100.67,84.15,82.45,83.35,47.27,41.91,44.76,3.33,13.04,5.88,66.67,13.03,12.89,24.51,47.06,100.0,28.27,95.78,94.61,95.33,100.0,96.13,92.34,89.54,0.0,0.0,92.64,92.84,89.36,0.0,0.0,93.02,12.465,85.0675,63.188
